재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		2,605,085,617			1,434,791,248	1,232,903,466
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		43,595,351,592			41,857,755,025	27,110,628,415
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	dart_AdjustmentsForGainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale	      매각예정비유동자산처분이익		833,763,946			1,045,869,910	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation	            세후기타포괄손익, 자산재평가차익(차손)		107,723,416			48,487,773,383	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		72,790,207,643			78,472,288,742	75,622,965,003
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		24,195,948,966			47,788,333,732	5,249,596,843
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		16,679,975,685			9,471,950,801	16,265,666,985
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod	      지분법적용 투자지분의 미분배 수익		2,427,677,415			-20,223,219,353	-1,336,826,893
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      포괄손익		36,833,922,567			66,727,837,765	15,045,056,765
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분		-138,474,638			-27,947,101	-223,866,672
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	         지배기업소유주지분		36,972,397,205			66,755,784,866	15,268,923,437
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         계속영업 기본주당순손익		443			362	473
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShareFromContinuingOperations	         계속영업기본주당이익(손실)		485			367	199
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations	         중단영업기본주당이익(손실)		42			5	-274
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당이익		485			367	199
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations	         계속영업희석주당이익(손실)		443			362	473
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations	         중단영업희석주당이익(손실)		42			5	-274
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		72,534,689,043			78,644,136,555	45,033,098,739
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		16,836,909,390			9,999,255,718	8,478,440,832
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		8,174,144,996			12,713,160,869	5,774,115,935
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_OperatingExpense	      영업비용		941,366,106,783			858,052,772,263	1,052,833,085,156
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익		15,233,121,581			50,255,482,815	6,377,878,287
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation	            해외사업환산손익		15,584,682,120			791,035,736	6,881,549,533
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax	            당기손익으로 재분류되는 지분법 적용대상 관계기업과 공동기업의 세후기타포괄손익에 대한 지분		-251,993,524			824,139,446	-58,364,556
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	dart_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융자산평가손익		-207,290,431			152,534,250	-1,279,392,733
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소						218,714,154
